address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
89 SOUTH STREET,"HPD, PARKS",10,4477500,1085797,70.83,19.83,74,1,5,2012,15.02,125500,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983195/0196625,1,"PARK, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,4477500,18684000,0,E006,0,,,,South Street Seaport,,Y,5,SCHERMERHORN ROW BLOCK,40.705865,-74.003769,1,249.33,195.17,3,K9,4,Battery Park City-Lower Manhattan                                          ,6,0,17,0,Yes,85500,,,SOUTH ST SEAPORT/BURLING SLIP,13v1,1,,0,2.64,15,0,0,40000,2,LM,,0,1980,47539,125500,1983,0,10038,C5-3,
2 FULTON STREET,"HPD, PARKS",10,2250000,1082003,0,0,74,1,5,2012,15.02,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"PARK, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,South Street Seaport,,Y,,,40.70631,-74.003235,20,291.17,286,3,Z9,4,Battery Park City-Lower Manhattan                                          ,0,0,0,0,,0,,,SOUTH ST SEAPORT/BURLING SLIP,13v1,1,,0,0,0,0,0,0,2,LM,,0,0,22533,0,0,0,10038,C5-3,
110 WILLIAM STREET,"EDC, DSBS, ACS",10,14490000,1001186,173.42,188.25,77,1,2,1004,15.02,788241,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982381/0197500,1,"AGCY EXECUTVE OFFICE, FIELD OFFICE-STAFF",2013-12-11T00:00:00.000,,0,0,3326400,0,E006,0,,,,,,Y,5,,40.708791,-74.007189,8,173.42,188.25,3,O3,4,Battery Park City-Lower Manhattan                                          ,31,0,1,767504,,0,,,,13v1,1,,0,24.25,1,0,0,20737,2,LM,,0,1956,32511,788241,2011,2003,10038,C6-4,
161 WILLIAM STREET,DYCD,10,5400000,1001269,119,83,92,1,2,1007,15.01,177433,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982532/0198022,1,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,,,Y,5,,40.710059,-74.005955,5,118.67,82.83,3,O3,4,Battery Park City-Lower Manhattan                                          ,22,0,1,168216,,0,,,,13v1,1,,2,16.76,15,0,0,9217,2,LM,,0,1951,10586,177433,2009,0,10038,C6-4,
81 FULTON STREET,ACS,10,3910500,1001280,120,260,93,1,2,1014,15.01,463679,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982645/0197773,1,"OFFICE, AGCY EXECUTVE OFFICE",2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,,,Y,5,,40.709202,-74.00571,1,119.75,260.42,1,O3,4,Battery Park City-Lower Manhattan                                          ,20,0,1,463679,Yes,0,,,ACS HEADQUARTERS,13v1,1,,1,15.29,5,0,0,0,2,LM,,0,1927,30332,463679,1990,0,10038,C6-4,
156 WILLIAM STREET,DYCD,10,2970000,1001281,195.67,105.75,93,1,2,1013,15.01,215755,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982704/0197865,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,,,Y,5,,40.709944,-74.006045,20,195.67,105.75,3,O3,4,Battery Park City-Lower Manhattan                                          ,12,0,1,215755,,0,,,DYCD HEADQUARTERS,13v1,1,,0,11.29,1,0,0,0,2,LM,,0,1955,19103,215755,2009,0,10038,C6-4,
49 BEEKMAN STREET,FIRE,10,242550,1001287,81,24,93,1,2,1013,15.01,5926,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982748/0197927,1,FIREHOUSE,2013-12-11T00:00:00.000,,0,242550,354600,0,E006,0,,,,,,Y,8,,40.710048,-74.005245,30,81.33,24.33,5,Y1,4,Battery Park City-Lower Manhattan                                          ,4,0,1,0,,5926,,,ENG 6,13v1,1,,3,3.23,1,0,0,0,2,LM,,0,1920,1837,5926,0,0,10038,C6-4,
,DCAS,0,0,,0,0,12641,4,,,,0,412,0,Christian Grove (212) 669-8888   LL48of2011@DCAS.NYC.GOV,0/0,0,NO USE-VACANT LAND,2011-12-15T00:00:00.000,,,0,0,0,,0,,0,0,,,,,,,,38,0,0,,,6,,0,0,0,0,,0,,,,,0,,,0,0,0,0,0,0,,,0,,0,0,0,0,,,
60 GOLD STREET,PARKS,6.02,611550,1000000,0,0,94,1,5,2004,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982847/0197619,1,PARK,2013-12-11T00:00:00.000,,0,611550,623250,0,E006,0,,,,,,Y,9,,40.709293,-74.005277,2,76.01,92.05,3,Q1,4,Battery Park City-Lower Manhattan                                          ,0,0,0,0,,0,,,DELURY SQUARE PARK,13v1,1,,0,0,0,0,0,0,2,,,0,0,5881,0,0,0,10038,R8,
100 GOLD STREET,DCAS,10,15345000,1001289,295,184,94,1,2,2003,15.01,655775,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983351/0197988,1,"OFFICE, AGCY EXECUTVE OFFICE, AGCY OFFICE, SENIOR CENTER, CUSTODIAL",2013-12-11T00:00:00.000,,0,15345000,44433000,0,E006,0,,,,,,Y,5,,40.710353,-74.004007,25,330.83,232.17,3,O1,4,Battery Park City-Lower Manhattan                                          ,10,0,1,655775,,0,,,OFFICE BLDG,13v1,1,,1,6.88,1,0,0,0,2,LM,,0,1970,95255,655775,0,0,10038,C6-4,
46 CLIFF STREET,NYCTA,10,0,1001291,0,0,95,1,5,3017,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983078/0197369,1,TRANSIT SUBSTATION,2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,,,Y,7,,40.708527,-74.004447,43,100.33,49.67,5,U7,4,Battery Park City-Lower Manhattan                                          ,0,0,1,0,Yes,0,,,IND CLIFF STREET SUBSTATION,13v1,1,Not Suitable 2 - Site is smaller than 2500 square feet,0,0,0,0,0,0,2,LM,,0,0,0,0,0,0,10038,C6-4,
206 WATER STREET,HPD,6.02,482400,1000000,0,0,95,1,5,3010,15.01,5361,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983229/0197046,1,"PUBLIC PLACE/PLAZA, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,482400,512100,0,E006,0,,,,South Street Seaport,,Y,,,40.707339,-74.003755,101,65,133.17,3,Z9,4,Battery Park City-Lower Manhattan                                          ,0,0,1,0,,5361,,,SEAPORT PARK,13v1,1,,0,1,0,0,0,0,2,LM,,0,0,5361,5361,0,0,10038,C6-2A,
94 SOUTH STREET,HPD,6.02,5400000,1001318,145,203,96,1,0,3008,15.01,128123,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983435/0196762,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,5400000,19074600,0,E006,0,,,,South Street Seaport,,Y,5,,40.70631,-74.003041,1,170,203.33,1,K9,4,Battery Park City-Lower Manhattan                                          ,3,0,1,0,,0,,,SOUTH ST SEAPORT (MKT BLDG),13v1,1,,1,3.84,37,0,0,128123,2,LM,,0,1983,33348,128123,0,0,10038,C6-2A,
207 FRONT STREET,HPD,6.02,1800000,1082013,77.33,23.42,96,1,5,3009,15.01,80000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983329/0196890,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,1800000,7547400,0,E006,0,,,,South Street Seaport,,Y,5,,40.707081,-74.00303,5,205.75,62.08,3,K9,4,Battery Park City-Lower Manhattan                                          ,4,0,12,60000,,0,,,SOUTH ST SEAPORT MUSEUM,13v1,1,,0,3.31,0,0,0,20000,2,LM,,0,1983,24165,80000,1983,0,10038,C6-2A,
205 FRONT STREET,HPD,6.02,198000,1001319,73,20,96,1,0,3009,15.01,4960,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983352/0196911,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,198000,357750,0,E006,0,,,,South Street Seaport,,Y,5,,40.707007,-74.003181,8,72.5,20.08,5,K9,4,Battery Park City-Lower Manhattan                                          ,4,0,1,3505,,0,,,,13v1,1,,3,3.41,2,0,0,1455,2,LM,,0,1980,1455,4960,0,0,10038,C6-2A,
201 FRONT STREET,HPD,6.02,612000,1001320,99,48,96,1,0,3009,15.01,11500,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983279/0196848,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,612000,1340100,0,E006,0,,,,South Street Seaport,,Y,5,,40.706853,-74.003484,12,83,51,3,K9,4,Battery Park City-Lower Manhattan                                          ,4,1,1,5750,,0,,,,13v1,1,,2,3.97,2,0,0,5750,2,LM,,0,1983,2896,11500,0,0,10038,C6-2A,
FRONT STREET,HPD,6.02,0,,0,0,96,1,5,,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"TRANSIT WAY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,0,0,0,E006,0,,,,South Street Seaport,,Y,7,,,,13,23.25,49.33,5,U7,4,,0,0,0,0,,0,,,IND 8TH AVE. ROW & VENT,13v1,1,Not Suitable 2 - Site is smaller than 2500 square feet,0,0,0,0,0,0,2,LM,,0,0,0,0,0,0,10038,C6-2A,
109 SOUTH STREET,HPD,6.02,106650,1001328,81,17,97,1,0,3006,15.01,4772,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983689/0196901,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,106650,335250,0,E006,0,,,,South Street Seaport,,Y,6,,40.706839,-74.002117,7,80.08,16.67,5,L8,4,Battery Park City-Lower Manhattan                                          ,4.5,0,1,0,,0,,,SEAPORT MUSEUM,13v1,1,,3,3.7,2,0,0,0,2,LM,,4772,1900,1290,4772,0,0,10038,C6-2A,
PEARL STREET,PARKS,6.02,408600,,0,0,106,1,5,3002,15.01,0,101,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0983881/0197592,1,PARK,2013-12-11T00:00:00.000,,0,408600,408600,0,E006,0,,,,South Street Seaport Extension,,Y,9,,,,22,261.92,11.75,3,Q1,4,,0,0,0,0,,0,,,FISHBRIDGE GARDEN,13v1,1,Existing GreenThumb Garden,0,0,0,0,0,0,2,LM,,0,0,4034,0,0,0,10038,C6-2A,
PECK SLIP,PARKS,0,1093500,,0,0,107,1,5,,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"PARK, FINAL COMMITMNT-DISP, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,1093500,1093500,0,E006,0,,,,South Street Seaport,,Y,10,,,,60,66,142.67,1,G6,4,,0,0,0,0,,0,,,PECK SLIP PARK,13v1,1,Not Suitable 1 - Site is not suitable for any one or more of these reasons: land-based reasons; reserved for agency purposes; no safe access to the site; site is part of a built street/highway.,0,0,0,0,0,0,2,,,0,0,8165,0,0,0,10038,PARK,
SOUTH STREET,DOT,10,9381420,,0,0,108,1,5,3001,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984135/0197562,1,OUTDOOR STRG-EQUIP,2013-12-11T00:00:00.000,,0,9381420,9381420,0,E006,0,,,,,,Y,11,BROOKLYN BRIDGE,,,4,691.5,118.83,5,V9,4,,0,0,0,0,,0,,,DUGOUT HIGHWAY YARD,13v1,5,,0,0,0,0,0,0,2,LM,,0,0,82775,0,0,0,10038,C6-4,
78 CATHERINE STREET,DHS,3.44,3140100,1083359,191,188,111,1,2,2000,25,115659,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984831/0198224,1,TRANSL HSG - FAMILY,2013-12-11T00:00:00.000,,0,3140100,4438800,0,E009,0,,,,,,Y,8,,40.71077,-73.996642,150,201.25,191.08,6,W1,4,Chinatown                                                                  ,4,0,1,115659,,0,,,CATHERINE ST FAMILY RESIDENCE,13v1,5,,1,2.9,1,0,0,0,2,,,0,1950,39875,115659,0,0,10038,R7-2,
86 CATHERINE STREET,EDUC,3.44,7910550,1083357,145,250,111,1,5,2000,25,111673,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984965/0198186,1,"ELEMENTARY SCHOOL, PARK",2013-12-11T00:00:00.000,,0,7910550,14660550,0,E009,0,,,,,,Y,8,,40.7106,-73.996602,160,401.25,425,5,W1,4,Chinatown                                                                  ,4,0,2,0,,111673,,,PS 126 & ALFRED E. SMITH PARK,13v1,5,,0,0.95,0,0,0,0,2,,,0,1965,117191,111673,0,0,10038,R7-2,
AVENUE OF THE FINEST,DOT,10,7656120,,0,0,113,1,5,2001,15.01,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983570/0198132,1,"PLAYING FIELD, ROAD/HIGHWAY",2013-12-11T00:00:00.000,,0,7656120,7656120,0,E006,0,,,,,,Y,11,,,,1,104.67,659.92,1,V9,4,,0,0,0,0,,0,,,MURRAY BERGTRAUM HS PLAYGROUND,13v1,5,,0,0,0,0,0,0,2,LM,,0,0,67553,0,0,0,10038,C6-4,
MADISON STREET,PARKS,0,2414700,,0,0,115,1,5,1008,27,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984136/0198482,1,PARK,2013-12-11T00:00:00.000,,0,2414700,2414700,0,E009,0,,,,,,Y,9,,,,1,148,188.92,1,Q9,4,,0,0,0,0,,0,,,JAMES MADISON PLAZA,13v1,5,,0,0,0,0,0,0,2,,,0,0,15264,0,0,0,10038,PARK,
CHATHAM SQUARE,PARKS,0,178650,,0,0,117,1,5,,27,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,PARK,2013-12-11T00:00:00.000,,0,178650,201600,0,E009,0,,,,,,Y,9,,,,100,36,121,1,Q1,4,,0,0,0,0,,0,,,KIMLAU SQUARE.PARK,13v1,5,,0,0,0,0,0,0,2,,,0,0,3311,0,0,0,10038,PARK,
1 POLICE PLAZA,NYPD,10,23804550,1079143,245,335,119,1,2,4014,29,1000518,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983713/0198745,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,23804550,91006200,0,E006,187155,,,,,,Y,5,,40.712356,-74.000891,1,334.42,382,5,O2,4,Chinatown                                                                  ,16,0,1,711424,Yes,101939,,,NYPD HEADQUARTERS/POLICE PLAZA,13v1,5,,0,6.56,0,0,0,0,2,,,0,1973,152553,1000518,0,0,10038,C6-4,
FRANKFORT STREET,DOT,10,648900,,0,0,120,1,5,,,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,0,NO USE-NON RES STRC,2013-12-11T00:00:00.000,,0,648900,648900,0,,0,,,,,,Y,7,,,,9,114,216,5,U1,4,,0,0,0,0,,0,,,BROOKLYN BRIDGE,13v1,0,Not Suitable 2 - Site is smaller than 2500 square feet,0,0,0,0,0,0,,LM,,0,0,0,0,0,0,0,C6-4,
1 CENTRE STREET,DCAS,10,15615000,1001394,182.92,327.25,121,1,2,4019,29,1056600,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983210/0199016,1,"AGCY EXECUTVE OFFICE, AGCY OFFICE, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,15615000,70771500,0,E006,0,,,,,,Y,5,MUNICIPAL BUILDING,40.713001,-74.004181,1,182.92,327.25,3,O4,4,Chinatown                                                                  ,39,0,1,1056600,Yes,0,,,MANHATTAN MUNICIPAL BUILDING,13v1,5,,0,21.05,0,0,0,0,2,,,0,1914,50184,1056600,2004,0,10007,C6-4,
PARK ROW,DOT,10,4477500,,0,0,121,1,5,,29,2480,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,NO USE-NON RES STRC,2013-12-11T00:00:00.000,,0,4477500,4477500,0,E006,0,,,,,,Y,,,,,27,194,186.33,1,Z9,4,,0,0,0,0,,2480,,,ENCLOSED AREA BENEATH BKLYN BR,13v1,5,,0,0.08,0,0,0,0,2,LM,,0,0,31706,2480,0,0,10007,C6-4,
52 CHAMBERS STREET,"DCAS, PARKS",0,14603400,1079146,105,215,122,1,5,1021,31,144016,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982562/0199047,1,"AGCY EXECUTVE OFFICE, PARK, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,14603400,27106650,0,E006,0,,,,African Burial Ground & The Commons,,Y,5,CITY HALL,40.713814,-74.00557,1,616,824,5,O9,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,2,0,2,144016,,0,,,CITY HALL/TWEED CRTHS/PARK,13v1,1,,0,0.36,1,0,0,0,2,,,0,1914,400000,144016,2000,2001,10007,PARK,
9 PARK PLACE,BLDGS,10,1939500,1001399,152,87,124,1,2,1007,21,205000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981968/0199094,1,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,L010,0,,,,,,Y,5,,40.712792,-74.008217,4,151.83,86.5,4,O2,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,18,0,1,195200,,0,,,,13v1,1,,3,16.76,60,0,0,9800,2,LM,,0,1927,12233,205000,1985,2004,10007,C6-4,
250 BROADWAY,COUNC,10,5535000,1001408,162,150,124,1,5,1007,21,541195,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982083/0199036,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,L010,0,,,,,,Y,5,,40.712982,-74.007301,24,162.5,151.5,3,O4,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,30,0,1,516195,Yes,0,,,CITY COUNCIL,13v1,1,,0,22.77,36,0,0,25000,2,LM,,0,1964,23773,541195,0,0,10007,C5-3,C6-4
100 CHURCH STREET,"LAW, BIC",10,8415000,1001409,335,159,125,1,1,1009,21,918240,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981440/0199145,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,5335650,0,L010,0,,,,,,Y,5,,40.712968,-74.00949,20,335,160.08,1,O3,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,19,0,1,905074,Yes,0,,,LAW DEPT HEADQUARTERS,13v1,1,,1,17.21,33,0,0,13166,2,LM,,0,1959,53354,918240,2007,0,10007,C5-3,
70 MURRAY STREET,"OMB, DOITT, ACTRY",10,7785000,1001415,276,163,127,1,2,2005,21,550000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981248/0199530,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,L010,19000,,,,,,Y,5,,40.714568,-74.01058,18,288,165,1,O3,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,13,0,1,518700,,0,,,,13v1,1,,1,12.91,13,0,0,12300,2,LM,,0,1987,42601,550000,2003,0,10007,C6-4,
76 MONROE STREET,PARKS,0,90000,1000000,0,0,254,1,5,6016,8,0,103,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986303/0198504,1,PLAYGROUND,2013-12-11T00:00:00.000,,0,90000,90000,0,E009,0,,,,,,Y,9,,40.711741,-73.992523,33,115,24.83,5,Q1,4,Chinatown                                                                  ,0,0,0,0,,0,,,COLEMAN SQUARE PLAYGROUND,13v1,5,,0,0,0,0,0,0,2,,,0,0,2763,0,0,0,10002,PARK,
123 BARCLAY STREET,HPD,10,17010000,1001416,324,236,128,1,2,2006,21,1133548,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980829/0199588,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,0,900000,0,L010,0,,,,,,Y,5,,40.714145,-74.012762,2,344,289,3,O4,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,26,0,1,1059466,Yes,0,,,BANK OF NEW YORK,13v1,1,,1,11,10,0,0,9484,2,LM,,64598,1983,103043,1133548,2002,0,10007,C6-4,
77 MURRAY STREET,NYCTA,6.02,0,1001423,0,0,132,1,5,2004,21,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981295/0199727,1,TRANSIT SUBSTATION,2013-12-11T00:00:00.000,,0,0,0,0,L010,0,,,,,,N,7,,40.714727,-74.010894,7,100,49.75,5,U7,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,0,0,1,0,,0,,,IRT SUBSTATION #40,13v1,1,Not Suitable 1 - Site is not suitable for any one or more of these reasons: land-based reasons; reserved for agency purposes; no safe access to the site; site is part of a built street/highway.,0,0,0,0,0,0,2,TMU,,0,0,4975,0,0,0,10007,C6-2A,
HUDSON STREET,PARKS,0,792450,,0,0,141,1,5,4010,39,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981641/0200566,1,PARK,2013-12-11T00:00:00.000,,0,792450,792450,0,E007,0,,,,Tribeca West,,Y,9,,,,39,60.83,150.83,1,Q1,4,,0,0,0,0,,0,,,DUANE STREET PARK,13v1,1,,0,0,0,0,0,0,2,,,0,0,4704,0,0,0,10013,PARK,
292 GREENWICH STREET,EDUC,10,5448150,1001533,207,92,142,1,5,2002,21,66820,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981013/0200221,1,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,5448150,10433700,0,L010,0,,,,,,Y,8,,40.71602,-74.011035,1,427.58,613,3,W1,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,3,0,1,0,,66820,,,PS 234,13v1,1,,0,0.21,0,0,0,0,2,,,0,1988,318603,66820,0,0,10007,C6-4,
114 WARREN STREET,PARKS,0,1360800,1000000,0,0,142,1,5,2002,21,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980897/0200215,1,OPEN SPACE,2013-12-11T00:00:00.000,,0,0,0,0,L010,0,,,,,,Y,9,,40.716086,-74.012175,3,43.49,91.85,5,Q9,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,0,0,0,0,,0,,,TRIBECA DOG RUN,13v1,1,,0,0,0,0,0,0,2,,,0,0,4300,0,0,0,10007,PARK,
310 GREENWICH STREET,EDUC,10,16199550,1083243,148,203,142,1,5,3000,39,258866,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981153/0200854,1,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,L010,230000,,,,,,Y,4,,40.717604,-74.010667,25,231.5,808,3,D6,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,39,0,10,0,Yes,0,,,INDEPENDENCE PLAZA NORTH,13v1,1,,0,10.56,1349,1711870,1328,28866,2,,,0,1975,186631,1970736,0,0,10013,C6-4,
GREENWICH STREET,PARKS,0,11587500,,0,0,142,1,5,3000,39,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980996/0200559,1,COMMUNITY PARK,2013-12-11T00:00:00.000,,0,11587500,11587500,0,L010,0,,,,,,N,9,,,,30,0,0,0,Q1,4,,0,0,0,0,,0,,,WASHINGTON MARKET PARK,13v1,1,,0,0,0,0,0,0,2,,,0,0,0,0,0,0,10013,PARK,
63 THOMAS STREET,"HRA, OCA",6.02,2677500,1001621,100,149,148,1,2,2009,33,110750,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982182/0200540,1,"FIELD OFFICE-PUBLIC, COURTHOUSE",2013-12-11T00:00:00.000,,0,0,0,0,E007,0,,,,Tribeca South,,Y,5,,40.716863,-74.007366,10,99.5,149.17,3,O1,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,7,0,1,100750,,0,,,,13v1,1,,3,7.38,3,0,0,0,2,TMU,,10000,1920,15008,110750,1985,0,10013,C6-2A,
NORFOLK STREET,PARKS,4,84696,,0,0,354,1,5,4002,30.01,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0988029/0201850,1,COMMUNITY GARDEN,2013-12-11T00:00:00.000,E-216,0,0,0,0,L018,0,,,,,,N,11,,,,18,50,21.83,3,V1,4,,0,0,0,0,,0,,,CHILDREN'S MIRACLE GARDEN,13v1,7,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,1092,0,0,0,10002,R7A,
40 WORTH STREET,"AGING, DDC, DEP",10,6795000,1001622,180,325,148,1,2,2009,33,702815,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982305/0200515,1,"OFFICE, AGCY OFFICE, TRAIN FAC-INDOOR",2013-12-11T00:00:00.000,,0,0,0,0,E007,0,,,,,,Y,5,,40.717363,-74.006897,15,180.17,324.83,3,O3,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,20,0,1,687815,Yes,0,,,AKA 220 CHURCH STREET,13v1,1,,3,16.16,10,0,0,15000,2,TMU,,0,1929,43492,702815,0,0,10013,C6-4,C6-2A
104 DUANE STREET,FIRE,6.02,751950,1085937,80,76,150,1,5,1009,33,19381,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982523/0199888,1,FIREHOUSE,2013-12-11T00:00:00.000,,0,751950,945450,0,L001,0,,,,,,Y,8,FIRE ENGINE CO 7/HOOK & LAD CO NO.1,40.715526,-74.006075,25,116.67,75.75,5,Y1,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,3,0,2,19381,,0,,,"ENG7,LAD1,BAT1,MAN.BORO.CMD",13v1,1,,3,2.19,2,0,0,0,2,,,0,1905,8859,19381,0,0,10007,C6-2A,C6-4A
EAST 11 STREET,PARKS,4,183819,,0,0,393,1,5,3000,28,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990219/0204072,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,L011,0,,,,,,N,11,,,,20,94.75,25,5,V9,4,,0,0,0,0,Yes,0,,,,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2370,0,0,0,10009,R8B,
